expo,table,project,sponsors,link,category,special
1,44,iSight,"Best Use of the Watson Cognitive APIs from IBM, The Most Innovative Embedded Application from L-3 Communications, Best Command Line Hack, Best Hardware Hack, Best Educational Hack from DonorsChoose.org, Best Health Hack from Merck",http://hackru-s16.devpost.com/submissions/52802-isight,,
1,45,Where2Hang,"The Most Innovative Embedded Application from L-3 Communications, Best Hardware Hack, Best Rutgers Hack",http://hackru-s16.devpost.com/submissions/52803-where2hang,,
1,46,Words of a nation,Best Educational Hack from DonorsChoose.org,http://hackru-s16.devpost.com/submissions/52804-words-of-a-nation,,
1,47,BWAI,Best Solo Hack,http://hackru-s16.devpost.com/submissions/52805-bwai,,
1,48,SmartFindr,"Best Use of the Watson Cognitive APIs from IBM, New Brunswick Mayor's Prizes, Best Rutgers Hack",http://hackru-s16.devpost.com/submissions/52807-smartfindr,,
1,49,Cram Time,Best Educational Hack from DonorsChoose.org,http://hackru-s16.devpost.com/submissions/52809-cram-time,,
1,50,WatsonEchoFusion,"Best Use of the Watson Cognitive APIs from IBM, Best IoT Hack from Rutgers Division of Continuing Studies, Best Use of AWS, Best Hardware Hack",http://hackru-s16.devpost.com/submissions/52810-watsonechofusion,,
1,51,iStuffMgmtTool,"Best Command Line Hack, Best Developer Tool from Github, Best Use of Twilio API, Best Solo Hack, Best First Hackathon Project, Best Use of Capital One API, New Brunswick Mayor's Prizes",http://hackru-s16.devpost.com/submissions/52811-istuffmgmttool,,
1,52,JFPG,"Best Command Line Hack, Best Solo Hack",http://hackru-s16.devpost.com/submissions/52812-jfpg,,
1,53,Protopy,Best Educational Hack from DonorsChoose.org,http://hackru-s16.devpost.com/submissions/52813-protopy,,
1,54,quarqi,"The Most Innovative Embedded Application from L-3 Communications, Best IoT Hack from Rutgers Division of Continuing Studies, Best Use of AWS, Best Developer Tool from Github, Best Hardware Hack, Best Educational Hack from DonorsChoose.org, Best Domain Name from Domain.com",http://hackru-s16.devpost.com/submissions/52814-quarqi,,
1,55,CloudVision,"Best Solo Hack, Best Use of Capital One API",http://hackru-s16.devpost.com/submissions/52815-cloudvision,,
1,56,Blow It Up,,http://hackru-s16.devpost.com/submissions/52816-blow-it-up,,
1,57,Tremor Tracker,"Best Hardware Hack, Best First Hackathon Project, Best Health Hack from Merck",http://hackru-s16.devpost.com/submissions/52817-tremor-tracker,,
1,58,BusHack,,http://hackru-s16.devpost.com/submissions/52818-bushack,,
1,59,Placeholder Game,,http://hackru-s16.devpost.com/submissions/52819-placeholder-game,,
1,60,AxAttack,"Best First Hackathon Project, Verizon Sponsorship Prize, Best Health Hack from Merck, IoT Princeton Presentation from New Brunswick Office of Innovation, New Brunswick Mayor's Prizes, Best Rutgers Hack",http://hackru-s16.devpost.com/submissions/52820-axattack,,
1,61,PixelBattles,Best First Hackathon Project,http://hackru-s16.devpost.com/submissions/52821-pixelbattles,,
1,62,Mini League of Legends Experiment,Best First Hackathon Project,http://hackru-s16.devpost.com/submissions/52822-mini-league-of-legends-experiment,,
1,63,taskl,"Best Use of API from Scriptr.io, Best Use of AWS, Best Use of MongoDB , Best Rutgers Hack",http://hackru-s16.devpost.com/submissions/52823-taskl,,
1,64,TwitterTime,,http://hackru-s16.devpost.com/submissions/52824-twittertime,,
1,65,Tappy Bird,"New Brunswick Mayor's Prizes, Best Rutgers Hack, Funniest Hack",http://hackru-s16.devpost.com/submissions/52825-tappy-bird,,
1,66,PTVR,"Best Use of API from Scriptr.io, The Most Innovative Embedded Application from L-3 Communications, Best Use of AWS, Best Use of Twilio API, Best Hardware Hack, Best First Hackathon Project, Best Educational Hack from DonorsChoose.org, Best Health Hack from Merck, Best Domain Name from Domain.com",http://hackru-s16.devpost.com/submissions/52827-ptvr,,
1,67,Fitiquick,"The Most Innovative Embedded Application from L-3 Communications, Best Solo Hack, Best Health Hack from Merck, Best Rutgers Hack",http://hackru-s16.devpost.com/submissions/52828-fitiquick,,
1,68,Rutgers Bus Simulator,"Best Domain Name from Domain.com, Funniest Hack",http://hackru-s16.devpost.com/submissions/52831-rutgers-bus-simulator,,
